obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
RANDOM,LGAP,10,3,900,206028,22s-20-45-9.txt,45,20,7,2884.0
SOP,LGAP,10,3,900,308909,22s-20-45-9.txt,45,20,20,4814.0
G01,LGAP,10,3,900,233902,22s-20-45-9.txt,45,20,7,2795.0
G02,LGAP,10,3,900,234302,22s-20-45-9.txt,45,20,8,3180.0
G03,LGAP,10,3,900,569595,22s-20-45-9.txt,45,20,7,2834.0
FCFS,LGAP,10,3,900,219635,22s-20-45-10.txt,45,20,7,2932.0
RANDOM,LGAP,10,3,900,206234,22s-20-45-10.txt,45,20,7,3027.0
SOP,LGAP,10,3,900,319010,22s-20-45-10.txt,45,20,20,5018.0
G01,LGAP,10,3,900,229577,22s-20-45-10.txt,45,20,7,2922.0
G02,LGAP,10,3,900,220578,22s-20-45-10.txt,45,20,7,3044.0
G03,LGAP,10,3,900,542060,22s-20-45-10.txt,45,20,7,2839.0
FCFS,LGAP,10,3,900,266385,22s-20-45-11.txt,45,20,9,3638.0
RANDOM,LGAP,10,3,900,241649,22s-20-45-11.txt,45,20,8,3288.0
SOP,LGAP,10,3,900,337848,22s-20-45-11.txt,45,20,20,5482.0
G01,LGAP,10,3,900,278877,22s-20-45-11.txt,45,20,8,3263.0
G02,LGAP,10,3,900,270718,22s-20-45-11.txt,45,20,9,3640.0
G03,LGAP,10,3,900,649862,22s-20-45-11.txt,45,20,8,3408.0
FCFS,LGAP,10,3,900,276020,22s-20-45-12.txt,45,20,8,3118.0
RANDOM,LGAP,10,3,900,245354,22s-20-45-12.txt,45,20,8,3041.0
SOP,LGAP,10,3,900,336043,22s-20-45-12.txt,45,20,20,4908.0
G01,LGAP,10,3,900,269624,22s-20-45-12.txt,45,20,8,3042.0
G02,LGAP,10,3,900,256766,22s-20-45-12.txt,45,20,8,3178.0
G03,LGAP,10,3,900,656466,22s-20-45-12.txt,45,20,8,3123.0
FCFS,LGAP,10,3,900,263839,22s-20-45-13.txt,45,20,9,3304.0
RANDOM,LGAP,10,3,900,236815,22s-20-45-13.txt,45,20,8,3154.0
SOP,LGAP,10,3,900,332541,22s-20-45-13.txt,45,20,20,5032.0
G01,LGAP,10,3,900,254392,22s-20-45-13.txt,45,20,7,2942.0
G02,LGAP,10,3,900,270974,22s-20-45-13.txt,45,20,10,3602.0
G03,LGAP,10,3,900,621910,22s-20-45-13.txt,45,20,8,3283.0
FCFS,LGAP,10,3,900,227634,22s-20-45-14.txt,45,20,7,2936.0
RANDOM,LGAP,10,3,900,206609,22s-20-45-14.txt,45,20,7,2847.0
SOP,LGAP,10,3,900,305762,22s-20-45-14.txt,45,20,20,4919.0
G01,LGAP,10,3,900,216507,22s-20-45-14.txt,45,20,6,2658.0
G02,LGAP,10,3,900,223756,22s-20-45-14.txt,45,20,7,2918.0
G03,LGAP,10,3,900,514141,22s-20-45-14.txt,45,20,6,2562.0
FCFS,LGAP,10,3,900,219476,22s-20-45-15.txt,45,20,8,2890.0
RANDOM,LGAP,10,3,900,188369,22s-20-45-15.txt,45,20,6,2558.0
SOP,LGAP,10,3,900,300876,22s-20-45-15.txt,45,20,20,4755.0
