obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance
SOP,SSHAPE,10,3,900,291646,22s-20-45-10.txt,45,20,20,5732.0
G01,SSHAPE,10,3,900,294692,22s-20-45-10.txt,45,20,7,2878.0
G02,SSHAPE,10,3,900,276008,22s-20-45-10.txt,45,20,7,2938.0
G03,SSHAPE,10,3,900,1900770,22s-20-45-10.txt,45,20,7,2780.0
FCFS,SSHAPE,10,3,900,304986,22s-20-45-11.txt,45,20,9,3636.0
RANDOM,SSHAPE,10,3,900,260340,22s-20-45-11.txt,45,20,8,3502.0
SOP,SSHAPE,10,3,900,315393,22s-20-45-11.txt,45,20,20,6150.0
G01,SSHAPE,10,3,900,353479,22s-20-45-11.txt,45,20,8,3420.0
G02,SSHAPE,10,3,900,327323,22s-20-45-11.txt,45,20,9,3694.0
G03,SSHAPE,10,3,900,2432286,22s-20-45-11.txt,45,20,8,3302.0
FCFS,SSHAPE,10,3,900,268292,22s-20-45-12.txt,45,20,8,3252.0
RANDOM,SSHAPE,10,3,900,251978,22s-20-45-12.txt,45,20,8,3238.0
SOP,SSHAPE,10,3,900,311455,22s-20-45-12.txt,45,20,20,5594.0
G01,SSHAPE,10,3,900,343049,22s-20-45-12.txt,45,20,8,3150.0
