obp_algorithm,prp_algorithm,num_aisles,num_cross_aisles,num_storage_locations,time,code_instance,capacity_device,num_orders,num_batches,distance,type_experiment
RANDOM,LGAP,10,3,900,459156,1l-20-30-30.txt,30,20,10,3398,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,652760,1l-20-30-30.txt,30,20,20,4628,WITH_ENCAPSULATION
G01,LGAP,10,3,900,544241,1l-20-30-30.txt,30,20,10,3298,WITH_ENCAPSULATION
G02,LGAP,10,3,900,576320,1l-20-30-30.txt,30,20,12,3773,WITH_ENCAPSULATION
G03,LGAP,10,3,900,834223,1l-20-30-30.txt,30,20,10,3392,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,639243,1l-20-30-31.txt,30,20,16,4792,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,594969,1l-20-30-31.txt,30,20,14,4430,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,687569,1l-20-30-31.txt,30,20,20,5206,WITH_ENCAPSULATION
G01,LGAP,10,3,900,386534,1l-20-30-31.txt,30,20,14,4547,WITH_ENCAPSULATION
G02,LGAP,10,3,900,398641,1l-20-30-31.txt,30,20,15,4652,WITH_ENCAPSULATION
G03,LGAP,10,3,900,523662,1l-20-30-31.txt,30,20,14,4407,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,308743,1l-20-30-32.txt,30,20,13,3872,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,283887,1l-20-30-32.txt,30,20,11,3660,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,358673,1l-20-30-32.txt,30,20,20,4737,WITH_ENCAPSULATION
G01,LGAP,10,3,900,301285,1l-20-30-32.txt,30,20,10,3499,WITH_ENCAPSULATION
G02,LGAP,10,3,900,337873,1l-20-30-32.txt,30,20,13,4052,WITH_ENCAPSULATION
G03,LGAP,10,3,900,518824,1l-20-30-32.txt,30,20,12,3764,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,331295,1l-20-30-33.txt,30,20,14,4424,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,304548,1l-20-30-33.txt,30,20,12,3960,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,387772,1l-20-30-33.txt,30,20,20,5092,WITH_ENCAPSULATION
G01,LGAP,10,3,900,335845,1l-20-30-33.txt,30,20,12,3928,WITH_ENCAPSULATION
G02,LGAP,10,3,900,351245,1l-20-30-33.txt,30,20,14,4335,WITH_ENCAPSULATION
G03,LGAP,10,3,900,509971,1l-20-30-33.txt,30,20,12,3982,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,283084,1l-20-30-34.txt,30,20,12,3627,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,247512,1l-20-30-34.txt,30,20,9,3180,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,341914,1l-20-30-34.txt,30,20,20,4590,WITH_ENCAPSULATION
G01,LGAP,10,3,900,273444,1l-20-30-34.txt,30,20,9,3132,WITH_ENCAPSULATION
G02,LGAP,10,3,900,287589,1l-20-30-34.txt,30,20,11,3530,WITH_ENCAPSULATION
G03,LGAP,10,3,900,461423,1l-20-30-34.txt,30,20,9,3142,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,280150,1l-20-30-35.txt,30,20,11,3525,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,263981,1l-20-30-35.txt,30,20,10,3314,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,364957,1l-20-30-35.txt,30,20,20,4774,WITH_ENCAPSULATION
G01,LGAP,10,3,900,284028,1l-20-30-35.txt,30,20,9,3220,WITH_ENCAPSULATION
G02,LGAP,10,3,900,307485,1l-20-30-35.txt,30,20,12,3678,WITH_ENCAPSULATION
G03,LGAP,10,3,900,484466,1l-20-30-35.txt,30,20,10,3308,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,307206,1l-20-30-36.txt,30,20,12,4119,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,305255,1l-20-30-36.txt,30,20,12,4029,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,371651,1l-20-30-36.txt,30,20,20,5275,WITH_ENCAPSULATION
G01,LGAP,10,3,900,318982,1l-20-30-36.txt,30,20,11,3826,WITH_ENCAPSULATION
G02,LGAP,10,3,900,346205,1l-20-30-36.txt,30,20,14,4410,WITH_ENCAPSULATION
G03,LGAP,10,3,900,513801,1l-20-30-36.txt,30,20,12,3972,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,311931,1l-20-30-37.txt,30,20,13,4020,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,302416,1l-20-30-37.txt,30,20,11,3652,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,378155,1l-20-30-37.txt,30,20,20,4847,WITH_ENCAPSULATION
G01,LGAP,10,3,900,324039,1l-20-30-37.txt,30,20,10,3464,WITH_ENCAPSULATION
G02,LGAP,10,3,900,342595,1l-20-30-37.txt,30,20,13,3888,WITH_ENCAPSULATION
G03,LGAP,10,3,900,497848,1l-20-30-37.txt,30,20,11,3726,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,286407,1l-20-30-38.txt,30,20,12,3545,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,248817,1l-20-30-38.txt,30,20,9,3032,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,349427,1l-20-30-38.txt,30,20,20,4487,WITH_ENCAPSULATION
G01,LGAP,10,3,900,280554,1l-20-30-38.txt,30,20,9,3090,WITH_ENCAPSULATION
G02,LGAP,10,3,900,292812,1l-20-30-38.txt,30,20,11,3422,WITH_ENCAPSULATION
G03,LGAP,10,3,900,475693,1l-20-30-38.txt,30,20,10,3277,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,336725,1l-20-30-39.txt,30,20,14,4434,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,290017,1l-20-30-39.txt,30,20,11,3912,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,371950,1l-20-30-39.txt,30,20,20,5206,WITH_ENCAPSULATION
G01,LGAP,10,3,900,307488,1l-20-30-39.txt,30,20,10,3664,WITH_ENCAPSULATION
G02,LGAP,10,3,900,338225,1l-20-30-39.txt,30,20,13,4239,WITH_ENCAPSULATION
G03,LGAP,10,3,900,501697,1l-20-30-39.txt,30,20,11,3774,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,294486,2l-20-45-0.txt,45,20,9,3233,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,252272,2l-20-45-0.txt,45,20,7,2896,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,372695,2l-20-45-0.txt,45,20,20,4995,WITH_ENCAPSULATION
G01,LGAP,10,3,900,293273,2l-20-45-0.txt,45,20,7,2958,WITH_ENCAPSULATION
G02,LGAP,10,3,900,288889,2l-20-45-0.txt,45,20,8,2959,WITH_ENCAPSULATION
G03,LGAP,10,3,900,641263,2l-20-45-0.txt,45,20,7,2912,WITH_ENCAPSULATION
FCFS,LGAP,10,3,900,264164,2l-20-45-1.txt,45,20,8,3232,WITH_ENCAPSULATION
RANDOM,LGAP,10,3,900,248743,2l-20-45-1.txt,45,20,7,2992,WITH_ENCAPSULATION
SOP,LGAP,10,3,900,366583,2l-20-45-1.txt,45,20,20,4987,WITH_ENCAPSULATION
G01,LGAP,10,3,900,288862,2l-20-45-1.txt,45,20,7,2834,WITH_ENCAPSULATION
G02,LGAP,10,3,900,285263,2l-20-45-1.txt,45,20,8,3205,WITH_ENCAPSULATION
G03,LGAP,10,3,900,613886,2l-20-45-1.txt,45,20,7,2936,WITH_ENCAPSULATION
